FID	IID	SampleType	Assigned_Merged_Cluster	Assignment_Confidence	PC1	PC2	Prob_Merge_Cluster_0	Prob_Merge_Cluster_1	Prob_Merge_Cluster_2	Prob_Merge_Cluster_3	Prob_Merge_Cluster_4
NAG11725	NAG11725	Control	0	0.9999961115889445	-0.0141222	-0.00810319	0.9999961115889445	1.392718601422182e-32	8.13499818187333e-11	3.8640481787002925e-10	3.887943302717614e-06
NAG11726	NAG11726	Control	0	0.9999978124705823	-0.0112878	-0.0120734	0.9999978124705823	2.5813234580874335e-30	5.626482540569145e-13	1.97934126524284e-09	2.1855495137310034e-06
NAG11733	NAG11733	Control	0	0.9999968190675158	-0.0115445	-0.00384092	0.9999968190675158	9.961119315417172e-31	3.5750786240358816e-13	1.558580904829056e-09	3.179373542904462e-06
NAG11734	NAG11734	Control	0	0.9999974939633368	-0.0103633	-0.00556053	0.9999974939633368	9.390561553262758e-30	3.950214473953148e-14	3.0355499351649528e-09	2.503001071784865e-06
NAG11738	NAG11738	Control	0	0.9999964186831946	-0.0131119	-0.00649021	0.9999964186831946	7.104393745543848e-32	1.030310851944922e-11	6.857812456895859e-10	3.580620719790114e-06
NAG11744	NAG11744	Control	0	0.9999977423320073	-0.005049	-0.00747881	0.9999977423320073	9.082576390842601e-26	5.590374533731901e-19	7.354565932730233e-08	2.184122336549109e-06
NAG11746	NAG11746	Control	0	0.9999964806768011	-0.0130771	-0.00663764	0.9999964806768011	9.687996968390077e-32	1.0023841767863383e-11	6.777951459822958e-10	3.5186353832480394e-06
NAG11777	NAG11777	Control	0	0.9999957031117903	-0.0136748	-0.0064875	0.9999957031117903	3.0325976114896434e-32	3.090030459013859e-11	5.059229783966378e-10	4.29635138807147e-06
NAG11780	NAG11780	Control	0	0.9999966291350435	-0.0134256	-0.00942297	0.9999966291350435	5.582762195349532e-32	2.697878284708351e-11	5.639778901463304e-10	3.3702740007585797e-06
NAG11873	NAG11873	Control	0	0.99999751408516	-0.0132231	-0.0132623	0.99999751408516	7.929869183385084e-32	2.8201682594455226e-11	6.590772774319147e-10	2.4852275640678215e-06
NAG11786	NAG11786	Control	0	0.9999941770761628	-0.0164893	-0.00995483	0.9999941770761628	2.462797877590146e-34	6.7156472322665195e-09	1.0517678535670819e-10	5.81610301140573e-06
NAG11801	NAG11801	Control	0	0.9990673476194131	-0.0240536	-0.00223831	0.9990673476194131	1.4163453379181687e-39	0.0007524371694460109	5.153036786400614e-12	0.00018021520598442224
NAG11806	NAG11806	Control	0	0.9999973187908512	-0.0132917	-0.010916	0.9999973187908512	6.626789327502189e-32	2.2044778860078514e-11	6.025071985494451e-10	2.680584599634538e-06
NAG11809	NAG11809	Control	0	0.9999973234689842	-0.0110295	-0.0080235	0.9999973234689842	4.181720482214253e-30	2.1173933431739761e-13	2.14477559581163e-09	2.674386031827245e-06
NAG11811	NAG11811	Control	0	0.9999952818286759	-0.00100395	-0.00871909	0.9999952818286759	1.745190838859177e-22	5.2059987299190006e-23	1.2109163088374424e-06	3.5072550185120377e-06
NAG11830	NAG11830	Control	0	0.999996214682	-0.0136278	-0.0081946	0.999996214682	3.36818920143778e-32	3.422140549294742e-11	5.163430060631318e-10	3.784767438073538e-06
NAG11848	NAG11848	Control	0	0.9999979745473205	-0.0100756	-0.0113089	0.9999979745473205	2.2563934441673654e-29	4.6322225327511333e-14	4.081300656230671e-09	2.0213713321708195e-06
NAG11851	NAG11851	Control	0	0.999996357385853	-0.0132537	-0.00763915	0.999996357385853	6.326641071605207e-32	1.4860076525433994e-11	6.174403798226146e-10	3.6419818492488783e-06
NAG11857	NAG11857	Control	0	0.9999934670875241	-0.0159131	-0.00869405	0.9999934670875241	7.102549592730314e-34	2.3227886958129205e-09	1.4571517577510905e-10	6.530443972623952e-06
NAG11858	NAG11858	Control	0	0.9999866695387268	-0.0195602	-0.00983876	0.9999866695387268	1.2567637358588992e-36	1.115381681435729e-06	2.1094081315005475e-11	1.2215058497840777e-05
NAG11787	NAG11787	Control	0	0.9999981904516323	-0.00764765	-0.0106238	0.9999981904516323	1.5741455636870612e-27	2.2837044033148204e-16	1.5910911444743418e-08	1.7936374591814665e-06
NAG11707	NAG11707	Control	0	0.9999977102359167	-0.00949994	-0.00757562	0.9999977102359167	4.9554193474389094e-29	8.758784361477409e-15	4.9964454030986445e-09	2.284767628047936e-06
NAG12061	NAG12061	Control	0	0.999998181154969	-0.00930488	-0.0130331	0.999998181154969	9.646609524686284e-29	1.189845291680236e-14	6.929948650877365e-09	1.811915069275198e-06
NAG12093	NAG12093	Control	0	0.9999976183951391	-0.0106294	-0.00927826	0.9999976183951391	7.729321792649067e-30	1.0787176776291809e-13	2.7923752451568016e-09	2.378812379995179e-06
NAG12228	NAG12228	Control	0	0.9999980436480238	-0.00671406	-0.00977406	0.9999980436480238	7.403923762851031e-27	3.196765507529699e-17	2.9427412889843387e-08	1.9269245658301247e-06
NAG12236	NAG12236	Control	0	0.9999914380733903	-0.019624	-0.0163916	0.9999914380733903	9.326200833004935e-37	2.2324243432571295e-06	1.4652237520151162e-11	6.329487617167164e-06
NAG12237	NAG12237	Control	0	0.9999965017505579	-0.0136442	-0.00867686	0.9999965017505579	3.9163306862886364e-32	3.508698184721253e-11	4.964123962221176e-10	3.4977179400294287e-06
NAG12239	NAG12239	Control	0	0.9999937751142332	-0.0165228	-0.00692654	0.9999937751142332	2.4094528450245768e-34	5.266896879937754e-09	1.1041636077579437e-10	6.21950845490244e-06
