Sample_ID	Original_Cluster	Rank
4000065328	Cluster 20	4
4000065972	Cluster 20	4
4000066834	Cluster 20	4
5000063476	Cluster 20	4
5000064564	Cluster 20	4
5000065170	Cluster 20	4
6000063758	Cluster 20	4
6000065064	Cluster 20	4
6000065812	Cluster 20	4
6000066322	Cluster 20	4
6999935827	Cluster 20	4
6999936979	Cluster 20	4
6999937365	Cluster 20	4
6999937465	Cluster 20	4
7000063132	Cluster 20	4
7999935503	Cluster 20	4
8000063792	Cluster 20	4
8000064084	Cluster 20	4
9000064066	Cluster 20	4
9999934833	Cluster 20	4
9999935333	Cluster 20	4
9999935363	Cluster 20	4
AYUM0008	Cluster 20	4
AYUM0034	Cluster 20	4
AYUM0047	Cluster 20	4
AYUM0058	Cluster 20	4
AYUM0063	Cluster 20	4
AYUM0076	Cluster 20	4
AYUM0166	Cluster 20	4
AYUM0323	Cluster 20	4
AYUM0437	Cluster 20	4
AYUM0621	Cluster 20	4
AYUM0643	Cluster 20	4
AYUM0648	Cluster 20	4
AYUM0655	Cluster 20	4
AYUM0672	Cluster 20	4
AYUM0726	Cluster 20	4
C_AC0086	Cluster 20	4
C_AC0146	Cluster 20	4
C_AC0179	Cluster 20	4
C_AC0188	Cluster 20	4
C_AC0255	Cluster 20	4
C_AC0470	Cluster 20	4
C_AC0479	Cluster 20	4
C_AC0531	Cluster 20	4
C_AC0550	Cluster 20	4
C_AC0560	Cluster 20	4
C_AC0666	Cluster 20	4
C_AC0754	Cluster 20	4
C_AC0761	Cluster 20	4
C_AC0800	Cluster 20	4
C_AC0814	Cluster 20	4
C_AC0879	Cluster 20	4
C_AC0915	Cluster 20	4
C_AC0954	Cluster 20	4
C_AC0994	Cluster 20	4
C_AC1512	Cluster 20	4
C_AC1539	Cluster 20	4
C_AC1548	Cluster 20	4
C_AC1579	Cluster 20	4
C_AC1606	Cluster 20	4
C_AC1623	Cluster 20	4
C_AC1703	Cluster 20	4
C_AC1704	Cluster 20	4
HVUM0002	Cluster 20	4
HVUM0009	Cluster 20	4
HVUM0019	Cluster 20	4
HVUM0021	Cluster 20	4
HVUM0023	Cluster 20	4
HVUM0060	Cluster 20	4
HVUM0062	Cluster 20	4
HVUM0155	Cluster 20	4
HVUM0161	Cluster 20	4
HVUM0162	Cluster 20	4
HVUM0396	Cluster 20	4
