Sample_ID	Original_Cluster	Rank
C_AC0118	Cluster 16	2
C_AC0271	Cluster 16	2
C_AC0340	Cluster 16	2
C_AC0424	Cluster 16	2
C_AC0450	Cluster 16	2
C_AC0497	Cluster 16	2
C_AC0507	Cluster 16	2
C_AC0608	Cluster 16	2
C_AC0617	Cluster 16	2
C_AC0649	Cluster 16	2
C_AC0667	Cluster 16	2
C_AC0847	Cluster 16	2
C_AC0876	Cluster 16	2
C_AC0921	Cluster 16	2
C_AC0932	Cluster 16	2
C_AC0956	Cluster 16	2
C_AC0967	Cluster 16	2
C_AC0968	Cluster 16	2
C_AC1690	Cluster 16	2
HVUM0056	Cluster 16	2
HVUM0083	Cluster 16	2
HVUM0202	Cluster 16	2
HVUM0322	Cluster 16	2
HVUM0359	Cluster 16	2
HVUM0456	Cluster 16	2
HVUM0486	Cluster 16	2
HVUM0509	Cluster 16	2
HVUM0540	Cluster 16	2
HVUM0585	Cluster 16	2
HVUM0589	Cluster 16	2
HVUM0634	Cluster 16	2
HVUM0684	Cluster 16	2
HVUM0724	Cluster 16	2
HVUM0733	Cluster 16	2
HVUM0765	Cluster 16	2
HVUM0774	Cluster 16	2
HVUM0787	Cluster 16	2
LCAC0178	Cluster 16	2
LCAC0250	Cluster 16	2
LCAC0327	Cluster 16	2
LCAC0355	Cluster 16	2
LCAC0390	Cluster 16	2
LCAC0420	Cluster 16	2
LCAC0443	Cluster 16	2
LCAC0527	Cluster 16	2
LCAC0550	Cluster 16	2
LCAC0705	Cluster 16	2
LCAC0736	Cluster 16	2
LCAC0786	Cluster 16	2
LCAC0866	Cluster 16	2
LCAC0881	Cluster 16	2
LCAC0901	Cluster 16	2
NAG10030	Cluster 16	2
NAG10049	Cluster 16	2
NAG10136	Cluster 16	2
NAG10138	Cluster 16	2
NAG10188	Cluster 16	2
NAG10219	Cluster 16	2
NAG10244	Cluster 16	2
NAG10258	Cluster 16	2
NAG10464	Cluster 16	2
NAG10571	Cluster 16	2
NAG10598	Cluster 16	2
NAG10656	Cluster 16	2
NAG10696	Cluster 16	2
NAG10722	Cluster 16	2
NAG10728	Cluster 16	2
NAG10734	Cluster 16	2
NAG10747	Cluster 16	2
NAG10810	Cluster 16	2
NAG10846	Cluster 16	2
NAG10908	Cluster 16	2
NAG11125	Cluster 16	2
NAG11153	Cluster 16	2
NAG11277	Cluster 16	2
NAG11296	Cluster 16	2
NAG11310	Cluster 16	2
NAG11373	Cluster 16	2
NAG11443	Cluster 16	2
NAG11528	Cluster 16	2
NAG11538	Cluster 16	2
NAG11582	Cluster 16	2
NAG11615	Cluster 16	2
NAG11661	Cluster 16	2
NAG11671	Cluster 16	2
NAG11734	Cluster 16	2
NAG11744	Cluster 16	2
NAG11935	Cluster 16	2
NAG11985	Cluster 16	2
NAG12051	Cluster 16	2
NAG12092	Cluster 16	2
NAG12161	Cluster 16	2
NAG12163	Cluster 16	2
NAG12228	Cluster 16	2
NAG12244	Cluster 16	2
NAG12260	Cluster 16	2
NAG12313	Cluster 16	2
NAG12331	Cluster 16	2
NAG12383	Cluster 16	2
NAG12567	Cluster 16	2
NAG12583	Cluster 16	2
NAG12626	Cluster 16	2
NAG12647	Cluster 16	2
NAG12720	Cluster 16	2
NAG12767	Cluster 16	2
NAG12796	Cluster 16	2
NAG12890	Cluster 16	2
NAG13014	Cluster 16	2
NAG13083	Cluster 16	2
NAG13245	Cluster 16	2
NAG13260	Cluster 16	2
NAG13275	Cluster 16	2
NAG13391	Cluster 16	2
NAG13433	Cluster 16	2
NAG13736	Cluster 16	2
NAG13737	Cluster 16	2
NAG13828	Cluster 16	2
NAG13880	Cluster 16	2
NAG13937	Cluster 16	2
NAG14091	Cluster 16	2
NAG14103	Cluster 16	2
NAG14299	Cluster 16	2
NAG14324	Cluster 16	2
NAG14331	Cluster 16	2
NAG14355	Cluster 16	2
NAG14396	Cluster 16	2
NAG14418	Cluster 16	2
NAG14461	Cluster 16	2
NAG14503	Cluster 16	2
NAG14583	Cluster 16	2
NAG14595	Cluster 16	2
NAG14644	Cluster 16	2
NAG14708	Cluster 16	2
NAG14769	Cluster 16	2
NAG14913	Cluster 16	2
NAG14935	Cluster 16	2
NAG14951	Cluster 16	2
NAG14986	Cluster 16	2
NAG15050	Cluster 16	2
NAG15095	Cluster 16	2
NAG15210	Cluster 16	2
NAG15233	Cluster 16	2
NAG15360	Cluster 16	2
NAG15425	Cluster 16	2
NAG15446	Cluster 16	2
NAG15467	Cluster 16	2
NAG15501	Cluster 16	2
